date,Count of Calls
8/14/2023,184
8/15/2023,155
8/16/2023,163
8/17/2023,144
8/18/2023,143
8/21/2023,135
8/22/2023,92
8/23/2023,160
8/24/2023,118
8/25/2023,135
8/28/2023,145
8/29/2023,123
8/30/2023,176
8/31/2023,118
9/1/2023,161
9/5/2023,183
9/6/2023,186
9/7/2023,125
9/8/2023,144
9/11/2023,159
9/12/2023,146
9/13/2023,200
9/14/2023,128
9/15/2023,113
9/18/2023,150
9/19/2023,95
9/20/2023,110
9/21/2023,135
9/22/2023,172
9/25/2023,147
9/26/2023,103
9/27/2023,196
9/28/2023,95
9/29/2023,108
10/2/2023,148
10/3/2023,142
10/4/2023,131
10/5/2023,134
10/6/2023,101
10/10/2023,192
10/11/2023,203
10/12/2023,154
10/13/2023,122
10/16/2023,169
10/17/2023,142
10/18/2023,127
10/19/2023,121
10/20/2023,96
10/23/2023,177
10/24/2023,125
10/25/2023,143
10/26/2023,112
10/27/2023,114
10/30/2023,168
10/31/2023,137
11/1/2023,235
11/2/2023,439
11/3/2023,549
11/6/2023,601
11/7/2023,420
11/8/2023,373
11/9/2023,298
11/13/2023,606
11/14/2023,313
11/15/2023,278
11/16/2023,201
11/17/2023,241
11/20/2023,229
11/21/2023,196
11/22/2023,122
11/27/2023,291
11/28/2023,173
11/29/2023,183
11/30/2023,216
12/1/2023,198
12/4/2023,291
12/5/2023,241
12/6/2023,251
12/7/2023,159
12/8/2023,139
12/11/2023,153
12/12/2023,105
12/13/2023,112
12/14/2023,93
12/15/2023,98
12/18/2023,109
12/19/2023,120
12/20/2023,102
12/21/2023,126
12/22/2023,74
12/26/2023,2
12/27/2023,145
12/28/2023,124
12/29/2023,107
1/1/2024,1
1/2/2024,159
1/3/2024,140
1/4/2024,122
1/5/2024,98
1/8/2024,125
1/9/2024,116
1/10/2024,98
1/11/2024,128
1/12/2024,148
1/16/2024,124
1/17/2024,182
1/18/2024,170
1/19/2024,229
1/22/2024,198
1/23/2024,105
1/24/2024,134
1/25/2024,139
1/26/2024,135
1/29/2024,142
1/30/2024,147
1/31/2024,151
2/1/2024,138
2/2/2024,262
2/5/2024,294
2/6/2024,174
2/7/2024,198
2/8/2024,199
2/9/2024,224
2/12/2024,168
2/13/2024,400
2/14/2024,128
2/15/2024,229
2/16/2024,187
2/19/2024,135
2/20/2024,220
2/21/2024,182
2/22/2024,198
2/23/2024,216
2/26/2024,339
2/27/2024,324
2/28/2024,293
2/29/2024,263
3/1/2024,167
3/4/2024,270
3/5/2024,161
3/6/2024,161
3/7/2024,190
3/8/2024,152
3/11/2024,209
3/12/2024,208
3/13/2024,165
3/14/2024,244
3/15/2024,154
3/18/2024,193
3/19/2024,198
3/20/2024,127
3/21/2024,150
3/22/2024,148
3/25/2024,207
3/26/2024,200
3/27/2024,189
3/28/2024,145
3/29/2024,2
4/1/2024,301
4/2/2024,204
4/3/2024,275
4/4/2024,401
4/5/2024,479
4/8/2024,672
4/9/2024,584
4/10/2024,536
4/11/2024,322
4/12/2024,363
4/15/2024,467
4/16/2024,359
4/17/2024,370
4/18/2024,277
4/19/2024,271
4/22/2024,402
4/23/2024,332
4/24/2024,259
4/25/2024,299
4/26/2024,268
4/29/2024,381
4/30/2024,384
5/1/2024,286
5/2/2024,194
5/3/2024,301
5/6/2024,386
5/7/2024,229
5/8/2024,199
5/9/2024,209
5/10/2024,206
5/13/2024,314
5/14/2024,227
5/15/2024,173
5/16/2024,100
5/17/2024,177
5/20/2024,306
5/21/2024,210
5/22/2024,136
5/23/2024,195
5/24/2024,204
5/28/2024,135
5/29/2024,139
5/30/2024,147
5/31/2024,148
6/3/2024,185
6/4/2024,132
6/5/2024,121
6/6/2024,107
6/7/2024,121
6/10/2024,135
6/11/2024,160
6/12/2024,273
6/13/2024,238
6/14/2024,178
6/17/2024,184
6/18/2024,137
6/19/2024,5
6/20/2024,212
6/21/2024,111
6/24/2024,193
6/25/2024,161
6/26/2024,164
6/27/2024,112
6/28/2024,147
7/1/2024,151
7/2/2024,148
7/3/2024,115
7/4/2024,8
7/5/2024,149
7/8/2024,248
7/9/2024,158
7/10/2024,134
7/11/2024,156
7/12/2024,125
7/15/2024,151
7/16/2024,105
7/17/2024,322
7/18/2024,211
7/19/2024,120
7/22/2024,146
7/23/2024,142
7/24/2024,141
7/25/2024,127
7/26/2024,129
7/29/2024,141
7/30/2024,104
7/31/2024,112
8/1/2024,109
8/2/2024,142
8/5/2024,86
8/6/2024,106
8/7/2024,86
8/8/2024,79
8/9/2024,90
8/12/2024,95
8/13/2024,87
8/14/2024,108
8/15/2024,105
8/16/2024,86
8/19/2024,88
8/20/2024,115
8/21/2024,143
8/22/2024,98
8/23/2024,83
8/26/2024,120
8/27/2024,100
8/28/2024,121
8/29/2024,110
8/30/2024,97
9/3/2024,127
9/4/2024,89
9/5/2024,78
9/6/2024,93
9/9/2024,151
9/10/2024,143
9/11/2024,97
9/12/2024,88
9/13/2024,98
9/16/2024,81
9/17/2024,90
9/18/2024,83
9/19/2024,92
9/20/2024,73
9/23/2024,104
9/24/2024,79
9/25/2024,96
9/26/2024,96
9/27/2024,123
9/30/2024,119
10/1/2024,107
10/2/2024,110
10/3/2024,153
10/4/2024,117
10/7/2024,145
10/8/2024,119
10/9/2024,166
10/10/2024,110
10/11/2024,201
10/14/2024,785
10/15/2024,144
10/16/2024,119
10/17/2024,111
10/18/2024,127
10/21/2024,141
10/22/2024,136
10/23/2024,127
10/24/2024,122
10/25/2024,126
10/28/2024,193
10/29/2024,115
10/30/2024,94
10/31/2024,88
11/1/2024,129
11/4/2024,398
11/5/2024,390
11/6/2024,296
11/7/2024,210
11/8/2024,524
11/11/2024,181
11/12/2024,327
11/13/2024,244
11/14/2024,233
11/15/2024,200
11/18/2024,197
11/19/2024,212
11/20/2024,218
11/21/2024,212
11/22/2024,154
11/25/2024,228
11/26/2024,178
11/27/2024,120
11/28/2024,1
11/29/2024,34
12/2/2024,243
12/3/2024,242
12/4/2024,194
12/5/2024,170
12/6/2024,171
12/9/2024,195
12/10/2024,181
12/11/2024,147
12/12/2024,101
12/13/2024,115
12/16/2024,141
12/17/2024,138
12/18/2024,83
12/19/2024,81
12/20/2024,78
12/23/2024,123
12/24/2024,26
12/26/2024,126
12/27/2024,131
12/30/2024,149
12/31/2024,98
1/1/2025,12
1/2/2025,193
1/3/2025,261
1/6/2025,164
1/7/2025,145
1/8/2025,254
1/9/2025,312
1/10/2025,230
1/13/2025,163
1/14/2025,161
1/15/2025,164
1/16/2025,129
1/17/2025,242
1/20/2025,65
1/21/2025,232
1/22/2025,123
1/23/2025,266
1/24/2025,160
1/27/2025,404
1/28/2025,527
1/29/2025,514
1/30/2025,394
1/31/2025,430
2/3/2025,499
2/4/2025,297
2/5/2025,283
2/6/2025,286
2/7/2025,602
2/10/2025,404
2/11/2025,309
2/12/2025,240
2/13/2025,258
2/14/2025,167
2/17/2025,121
2/18/2025,351
2/19/2025,217
2/20/2025,149
2/21/2025,235
2/24/2025,188
2/25/2025,271
2/26/2025,262
2/27/2025,256
2/28/2025,226
3/3/2025,206
3/4/2025,217
3/5/2025,169
3/6/2025,207
3/7/2025,164
3/10/2025,308
3/11/2025,328
3/12/2025,304
3/13/2025,179
3/14/2025,160
3/17/2025,174
3/18/2025,186
3/19/2025,184
3/20/2025,172
3/21/2025,181
3/24/2025,266
3/25/2025,189
3/26/2025,131
3/27/2025,183
3/28/2025,156
3/31/2025,430
4/1/2025,288
4/2/2025,242
4/3/2025,213
4/4/2025,284
4/7/2025,281
4/8/2025,306
4/9/2025,216
4/10/2025,230
4/11/2025,234
4/14/2025,329
4/15/2025,279
4/16/2025,239
4/17/2025,389
4/18/2025,1291
4/21/2025,384
4/22/2025,329
4/23/2025,272
4/24/2025,181
4/25/2025,178
4/28/2025,532
4/29/2025,227
4/30/2025,218
5/1/2025,333
5/2/2025,196
5/5/2025,1209
5/6/2025,900
5/7/2025,800
5/8/2025,525
5/9/2025,537
5/12/2025,578
5/13/2025,1145
5/14/2025,590
5/15/2025,395
5/16/2025,355
